Idx;Name;Label;Perc_missing;QC_RSD
1;M1;1_3-Dimethylurate;11,42857143;32,20800495
2;M2;1_6-Anhydro-?-D-glucose;0,714285714;31,17802801
3;M3;1_7-Dimethylxanthine;5;34,99060496
4;M4;1-Methylnicotinamide;8,571428571;12,80420087
5;M5;2-Aminoadipate;1,428571429;9,372663557
6;M6;2-Aminobutyrate;5;46,97714918
7;M7;2-Furoylglycine;2,857142857;5,049155626
8;M8;2-Hydroxyisobutyrate;0;5,132340064
9;M9;2-Hydroxyphenylacetate;19,28571429;28,69116456
10;M10;2-Oxoglutarate;7,857142857;33,08121289
11;M11;3-Aminoisobutyrate;5;15,47616491
12;M12;3-Hydroxy-3-methylglutarate;0;26,60495742
13;M13;3-Hydroxybutyrate;0;39,46587232
14;M14;3-Hydroxyisobutyrate;2,142857143;8,905710853
15;M15;3-Hydroxyisovalerate;0;4,200836811
16;M16;3-Hydroxymandelate;7,142857143;22,96166928
17;M17;3-Hydroxyphenylacetate;27,14285714;133,7857101
18;M18;3-Indoxylsulfate;1,428571429;20,8591425
19;M19;4-Aminohippurate;8,571428571;42,30543784
20;M20;4-Hydroxy-3-methoxymandelate;5;37,79035723
21;M21;4-Hydroxyphenylacetate;31,42857143;65,44309825
22;M22;4-Hydroxyphenyllactate;20;75,43602665
23;M23;5-Aminolevulinate;0,714285714;31,63089697
24;M24;5-Hydroxytryptophan;10,71428571;23,69438662
25;M25;6-Hydroxynicotinate;0;18,14903419
26;M26;ATP;5,714285714;16,42014975
27;M27;Acetaminophen;12,14285714;69,12756704
28;M28;Acetate;15;32,89351378
29;M29;Acetoacetate;2,142857143;28,18237465
30;M30;Acetone;1,428571429;21,79964702
31;M31;Adipate;0,714285714;10,47566597
32;M32;Alanine;0;4,163279523
33;M33;Anserine;0;9,49971352
34;M34;Arginine;14,28571429;40,43908388
35;M35;Ascorbate;15;58,55817599
36;M36;Asparagine;9,285714286;7,3562968
37;M37;Azelate;0;10,52700261
38;M38;Betaine;3,571428571;41,74289029
39;M39;Butanone;0,714285714;28,10640078
40;M40;Caffeine;1,428571429;27,53162416
41;M41;Carnitine;15,71428571;42,85123658
42;M42;Carnosine;3,571428571;22,57502626
43;M43;Chlorogenate;2,142857143;21,21092145
44;M44;Choline;2,857142857;45,60907262
45;M45;Citrate;0;6,268331825
